source_id,price_level
12358728685478253043,2
12362765617596436620,2
12377659702733548363,1
12384552878533014710,1
123867148602173913,1
12391652098978505895,1
12396186205263656837,3
12405324798377705960,1
1240674917342884997,2
12413508981228153503,1
12416081963620175835,2
12418431975173219143,1
12424185848426877298,2
12426455263709163853,2
1242900320175882909,1
12441854585373301489,2
12449392150352747695,2
12452381340340486233,2
12456159436719265917,2
12466260810350464742,1
1247942235482153754,1
12486056109799830258,1
12491610463607191994,2
12491714077958688581,2
12503387122064304351,2
12509244662560440147,2
12509279796482257618,1
12519726944348387471,2
12527819304422326595,1
12528713897510482915,1
12536696835966505374,1
12540686600962237193,1
12542398586367031096,1
12558841157707138022,2
12560393274193915834,1
12561345124100533736,2
12568140193922172513,2
12572375708752129241,1
12576517508432579924,2
12587361011382717725,2
12597484095099080494,2
12598581725334580415,1
1261570937061843570,1
12616275915739919316,2
12618893575525545443,1
1262369053394577369,1
12625021872063396512,1
12628510525259691921,1
12629265231928681655,1
12649952190816602577,1
12656706869090260969,1
12662081377189875188,1
12673204576305132096,1
12687184848033040317,2
12687690909358791837,1
12688254749107582403,2
1268869122514420723,2
12692978242711869467,1
12694897214209411296,2
12699934122655675480,2
12707509600909884447,2
12730751450803686713,1
12739509803525752203,1
12755053323061028468,1
12758970974897339224,1
12759777210086714696,1
12765547560070692311,1
12767857680390858902,2
12770130838336726558,1
12775118977553143822,1
12806817142487543671,1
1280811332120290905,3
12816896407094271183,2
12818589707907118062,2
12821395676976185511,3
12822074853466266284,1
12837922087816933349,2
12851663500521727368,1
12855812159070663537,2
12859047395564308631,2
12859936895018432586,2
12867066187839202610,2
12868116383335744455,1
12868402777832151611,1
12874464810724289949,2
12875263562268279451,1
12879393479844343033,1
12879615846556868637,2
12884380549369006544,2
12889358806576589210,1
12889931153427172753,1
12903558047659139067,2
12909874009193568489,1
12917776976979109724,2
12921388114098773344,2
12924643595210465921,1
12931890572123138419,2
12934371026079790319,2
12938944607576447209,1
12944749832266340189,1
12949948455425866367,1
12955030991061062643,1
12962402145470478359,2
12978228513504451564,2
12985546636274412997,1
12989510092793842888,1
12993630980681680200,2
13000019415905486367,2
13002259441077620133,2
13012879330168336690,1
13014211372319396195,2
13018950547613766649,1
13020659154347740669,1
13038791081836334576,1
13040227376498126963,1
13053565369444587665,1
13067415315917605,2
13070023494661493246,1
13073528895836307148,2
13078932899826483921,1
13080048493992252483,1
13089868426865504886,1
1309450084766382278,1
13114490891693822666,2
13122658717869991895,1
13139160711705259480,2
13147302445589113610,1
1315843937739932160,1
13164822713771793884,1
13171991215234518497,1
13174230003776134724,1
13174581519429570768,1
13174979687935501109,2
13177702805908631803,2
13190328926164817090,2
13211595308495654776,1
1321671271529763791,1
13218610765997809610,1
13218673142300512135,2
13226048156038114357,1
13228538452739927599,1
1322893994657242744,1
13231255252040607672,1
13232048882639300192,2
13236357535702939377,2
1324792086504931449,2
13249071787662044711,1
13251686779082366470,1
1325835766154727895,1
13262255886035281183,1
13265190181947551273,1
13266395577236596790,1
13270332778847801582,1
13281726811347483349,1
13288997470506482203,2
13309835456585345607,1
13319797728059847297,2
13324465453927763813,1
13325834391531833473,2
13329667644122887756,1
13330734463628424925,1
13339758576663785958,1
13340119415612328268,2
13341860318153268906,1
1334542522757381083,1
13354564055014320840,2
13355284046344049006,1
13368924670083442037,2
13372684578942384045,1
13380216037113464065,1
13381924144918281183,1
13399342889355580488,3
13399430320358557304,2
13407338805948448108,2
13410356476243144139,2
13416393462819703712,1
13431072362634161,1
13432040843912949974,1
13442658016633098527,1
13449939227055013614,2
13453351462075352543,2
13456244742177654621,1
13463113257646943864,2
13474840507835826665,2
13476528649942688034,2
13480040754715867829,1
13491346932837864012,1
13502659471977382328,1
13513761224872107129,1
13515955532253792010,1
13516194509876532867,1
13517422003710435373,1
13526106887407340085,1
13533958485888528970,3
13536759242076281421,1
1354325943942369214,1
13549564980585224328,1
13558167669957670749,2
13558924690007146111,2
13560442535843347207,2
1357333094316834614,1
13581433461496199119,2
13582756140018112309,1
13588895939061272436,2
13591998960246203206,1
13609751331208292463,1
13610906536180741061,1
13614379323129630337,1
13616844921011853324,2
13617759465032205611,1
13619152722533018731,2
13623037485025268020,3
13638695292113327841,1
13643143587345310985,2
13662084691634086981,2
13662317918377290032,1
13663798885298009288,1
13669976044924031011,2
