source_row_index,tripadvisor_id,tripadvisor_url,name,city,raw_cuisine_style,ranking,rating,price_range,number_of_reviews,raw_reviews,embedding_text,latitude,longitude
1789,d2048656,/Restaurant_Review-g187323-d2048656-Reviews-Good_Morning_Vietnam_Vegan_Kreuzberg-Berlin.html,Good Morning Vietnam Vegan - Kreuzberg,Berlin,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options']",1791.0,4.0,$$ - $$$,81,"[['Always a pleasure!', 'Really cosy and amazing food !'], ['11/27/2017', '10/14/2017']]","Restaurant name: Good Morning Vietnam Vegan - Kreuzberg. City: Berlin. Cuisine and dietary tags: Asian, Vietnamese, Vegetarian Friendly, Vegan Options. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 81. Review snippets: Always a pleasure!; Really cosy and amazing food !.",52.513395,13.366218
5179,d5507229,/Restaurant_Review-g187323-d5507229-Reviews-Pizzeria_Elisa_Inh_Sait_Emini-Berlin.html,Pizzeria Elisa Inh. Sait Emini,Berlin,['Pizza'],5181.0,4.0,,,"[[], []]",Restaurant name: Pizzeria Elisa Inh. Sait Emini. City: Berlin. Cuisine and dietary tags: Pizza. TripAdvisor rating: 4.0 out of 5.,52.495042,13.333843
2733,d2468349,/Restaurant_Review-g187323-d2468349-Reviews-Bellman_Bar-Berlin.html,Bellman Bar,Berlin,['German'],2735.0,4.5,,12,"[['Great drinks great food', 'atmospheric bar, great drinks, super frien...'], ['07/09/2017', '04/26/2017']]","Restaurant name: Bellman Bar. City: Berlin. Cuisine and dietary tags: German. TripAdvisor rating: 4.5 out of 5. Number of reviews: 12. Review snippets: Great drinks great food; atmospheric bar, great drinks, super frien....",52.501624,13.429434
1319,d1353570,/Restaurant_Review-g187323-d1353570-Reviews-Restaurant_La_Sepia-Berlin.html,Restaurant La Sepia,Berlin,"['Seafood', 'Mediterranean', 'European', 'Spanish', 'Portuguese', 'Vegetarian Friendly']",1321.0,4.0,$$ - $$$,209,"[['Espana cuisine done right', 'Good'], ['09/28/2017', '09/09/2017']]","Restaurant name: Restaurant La Sepia. City: Berlin. Cuisine and dietary tags: Seafood, Mediterranean, European, Spanish, Portuguese, Vegetarian Friendly. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 209. Review snippets: Espana cuisine done right; Good.",52.544002,13.460501
6737,d5822810,/Restaurant_Review-g187323-d5822810-Reviews-Multikulti_Treff-Berlin.html,Multikulti-Treff,Berlin,,,,,,,Restaurant name: Multikulti-Treff. City: Berlin.,52.549505,13.413830
982,d8856910,/Restaurant_Review-g187323-d8856910-Reviews-Tak_Tak_Polish_Deli-Berlin.html,Tak Tak - Polish Deli,Berlin,"['Polish', 'European', 'Eastern European', 'Central European', 'Street Food', 'Vegetarian Friendly', 'Vegan Options']",984.0,4.0,$,47,"[['Fast, filling and freaking delicious', 'Delicious food, decent value'], ['11/04/2017', '04/30/2017']]","Restaurant name: Tak Tak - Polish Deli. City: Berlin. Cuisine and dietary tags: Polish, European, Eastern European, Central European, Street Food, Vegetarian Friendly, Vegan Options. Price range: $. TripAdvisor rating: 4.0 out of 5. Number of reviews: 47. Review snippets: Fast, filling and freaking delicious; Delicious food, decent value.",52.503841,13.330648
4604,d12372433,/Restaurant_Review-g187323-d12372433-Reviews-Da_Capo-Berlin.html,Da Capo,Berlin,,4606.0,4.0,,6,"[['Great Italian meal. Good service', 'Excellent'], ['09/19/2017', '06/11/2017']]",Restaurant name: Da Capo. City: Berlin. TripAdvisor rating: 4.0 out of 5. Number of reviews: 6. Review snippets: Great Italian meal. Good service; Excellent.,52.514368,13.375814
7076,d13358302,/Restaurant_Review-g187323-d13358302-Reviews-Kandaka_Food-Berlin.html,Kandaka Food,Berlin,,,,,,,Restaurant name: Kandaka Food. City: Berlin.,52.520351,13.385442
6928,d12149959,/Restaurant_Review-g187323-d12149959-Reviews-Exodos_Cafe_Bar_Restaurant-Berlin.html,Exodos Cafe Bar Restaurant,Berlin,['Greek'],,,$$ - $$$,,,Restaurant name: Exodos Cafe Bar Restaurant. City: Berlin. Cuisine and dietary tags: Greek. Price range: $$ - $$$.,52.481113,13.356218
1818,d5804043,/Restaurant_Review-g187323-d5804043-Reviews-Zur_S_Bahn-Berlin.html,Zur S-Bahn,Berlin,,1820.0,4.5,,20,"[['Best public transport in Europe', 'Amazing public transport'], ['09/25/2017', '12/12/2015']]",Restaurant name: Zur S-Bahn. City: Berlin. TripAdvisor rating: 4.5 out of 5. Number of reviews: 20. Review snippets: Best public transport in Europe; Amazing public transport.,52.522625,13.444263
2989,d6764455,/Restaurant_Review-g187323-d6764455-Reviews-Gasthaus_Leonhardt-Berlin.html,Gasthaus Leonhardt,Berlin,,2991.0,4.0,,28,"[['Totally recommend it!!', 'Breakfast brunch'], ['03/21/2017', '11/18/2017']]",Restaurant name: Gasthaus Leonhardt. City: Berlin. TripAdvisor rating: 4.0 out of 5. Number of reviews: 28. Review snippets: Totally recommend it!!; Breakfast brunch.,52.551588,13.431964
1580,d11925522,/Restaurant_Review-g187323-d11925522-Reviews-Restaurant_Tagine-Berlin.html,Restaurant Tagine,Berlin,"['Lebanese', 'Moroccan', 'Mediterranean', 'Middle Eastern', 'Arabic']",1582.0,4.5,$$ - $$$,16,"[['Food with great flavor from a multi-talent...', 'Jimbo'], ['05/20/2017', '03/03/2017']]","Restaurant name: Restaurant Tagine. City: Berlin. Cuisine and dietary tags: Lebanese, Moroccan, Mediterranean, Middle Eastern, Arabic. Price range: $$ - $$$. TripAdvisor rating: 4.5 out of 5. Number of reviews: 16. Review snippets: Food with great flavor from a multi-talent...; Jimbo.",52.549163,13.457581
926,d1164257,/Restaurant_Review-g187323-d1164257-Reviews-Eiffel-Berlin.html,Eiffel,Berlin,"['European', 'Central European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",927.0,4.0,$$ - $$$,187,"[['Excellent goat cheese salad!', 'Great breakfast'], ['07/08/2017', '04/16/2017']]","Restaurant name: Eiffel. City: Berlin. Cuisine and dietary tags: European, Central European, International, Vegetarian Friendly, Gluten Free Options. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 187. Review snippets: Excellent goat cheese salad!; Great breakfast.",52.524661,13.378950
741,d7391025,/Restaurant_Review-g187323-d7391025-Reviews-Restaurant_Dalmacija-Berlin.html,Restaurant Dalmacija,Berlin,"['European', 'Croatian', 'Central European', 'Mediterranean', 'Vegetarian Friendly']",742.0,4.0,$$ - $$$,52,"[['Great atmosphere,great food', 'Excellent Balkan Food'], ['11/04/2017', '09/28/2017']]","Restaurant name: Restaurant Dalmacija. City: Berlin. Cuisine and dietary tags: European, Croatian, Central European, Mediterranean, Vegetarian Friendly. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 52. Review snippets: Great atmosphere,great food; Excellent Balkan Food.",52.526342,13.368114
5584,d10383778,/Restaurant_Review-g187323-d10383778-Reviews-Floating_Lounge-Berlin.html,Floating Lounge,Berlin,,5586.0,3.5,,5,"[['Quite place for a drink before the Basketb...'], ['12/28/2017']]",Restaurant name: Floating Lounge. City: Berlin. TripAdvisor rating: 3.5 out of 5. Number of reviews: 5. Review snippets: Quite place for a drink before the Basketb....,52.528689,13.434519
5606,d8420399,/Restaurant_Review-g187323-d8420399-Reviews-Le_Croco_Bleu-Berlin.html,Le Croco Bleu,Berlin,,5608.0,3.0,,29,"[['Environment and product 5*', 'Good coctails but bad service'], ['08/04/2016', '05/18/2016']]",Restaurant name: Le Croco Bleu. City: Berlin. TripAdvisor rating: 3.0 out of 5. Number of reviews: 29. Review snippets: Environment and product 5*; Good coctails but bad service.,52.511632,13.399443
6845,d9812369,/Restaurant_Review-g187323-d9812369-Reviews-Dams_Thaimassagen-Berlin.html,Dams Thaimassagen,Berlin,,,,,,,Restaurant name: Dams Thaimassagen. City: Berlin.,52.547224,13.412440
5673,d7121931,/Restaurant_Review-g187323-d7121931-Reviews-P145-Berlin.html,P145,Berlin,"['Indian', 'German']",5675.0,3.5,,10,"[['New years eve Dinner', 'Veg'], ['01/05/2017', '11/12/2014']]","Restaurant name: P145. City: Berlin. Cuisine and dietary tags: Indian, German. TripAdvisor rating: 3.5 out of 5. Number of reviews: 10. Review snippets: New years eve Dinner; Veg.",52.514209,13.430091
2794,d1037121,/Restaurant_Review-g187323-d1037121-Reviews-Paglia_e_Fieno-Berlin.html,Paglia e Fieno,Berlin,['Seafood'],2796.0,4.5,$$ - $$$,10,"[[], []]",Restaurant name: Paglia e Fieno. City: Berlin. Cuisine and dietary tags: Seafood. Price range: $$ - $$$. TripAdvisor rating: 4.5 out of 5. Number of reviews: 10.,52.558992,13.411696
5643,d10042565,/Restaurant_Review-g187323-d10042565-Reviews-Tomasa-Berlin.html,Tomasa,Berlin,,5645.0,3.5,,22,"[[], []]",Restaurant name: Tomasa. City: Berlin. TripAdvisor rating: 3.5 out of 5. Number of reviews: 22.,52.544805,13.461329
5287,d8801369,/Restaurant_Review-g187323-d8801369-Reviews-Hol_Cow_Indian_Street_Food-Berlin.html,Hol! Cow Indian Street Food,Berlin,"['Indian', 'Cafe', 'Asian', 'Street Food', 'Middle Eastern', 'Pakistani']",5289.0,4.0,$,4,"[['The greatest street food', 'Slow but good food'], ['06/07/2017', '05/17/2017']]","Restaurant name: Hol! Cow Indian Street Food. City: Berlin. Cuisine and dietary tags: Indian, Cafe, Asian, Street Food, Middle Eastern, Pakistani. Price range: $. TripAdvisor rating: 4.0 out of 5. Number of reviews: 4. Review snippets: The greatest street food; Slow but good food.",52.511385,13.418760
3767,d8637830,/Restaurant_Review-g187323-d8637830-Reviews-Al_Andalus-Berlin.html,Al Andalus,Berlin,"['Mediterranean', 'Spanish', 'Lebanese']",3769.0,4.0,$$ - $$$,16,"[['Very nice atmosphere and excellent food', 'Worst Spanish experience in Berlin'], ['11/21/2016', '11/17/2016']]","Restaurant name: Al Andalus. City: Berlin. Cuisine and dietary tags: Mediterranean, Spanish, Lebanese. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 16. Review snippets: Very nice atmosphere and excellent food; Worst Spanish experience in Berlin.",52.517229,13.347970
2730,d3537341,/Restaurant_Review-g187323-d3537341-Reviews-La_Fattoria-Berlin.html,La Fattoria,Berlin,"['Italian', 'European', 'Mediterranean']",2732.0,4.0,$$ - $$$,29,"[['Deeply unpleasant and aggressive staff', 'Surprisingly superb'], ['05/15/2017', '02/27/2017']]","Restaurant name: La Fattoria. City: Berlin. Cuisine and dietary tags: Italian, European, Mediterranean. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 29. Review snippets: Deeply unpleasant and aggressive staff; Surprisingly superb.",52.493658,13.347204
618,d7646942,/Restaurant_Review-g187323-d7646942-Reviews-Sabor_con_Tradicon-Berlin.html,Sabor con Tradicon,Berlin,"['Latin', 'Argentinean', 'South American', 'Mexican', 'Central American', 'Vegetarian Friendly']",619.0,4.5,$$ - $$$,70,"[['Very good!', 'Lovely place'], ['12/31/2016', '12/20/2016']]","Restaurant name: Sabor con Tradicon. City: Berlin. Cuisine and dietary tags: Latin, Argentinean, South American, Mexican, Central American, Vegetarian Friendly. Price range: $$ - $$$. TripAdvisor rating: 4.5 out of 5. Number of reviews: 70. Review snippets: Very good!; Lovely place.",52.517001,13.363664
4877,d8609768,/Restaurant_Review-g187323-d8609768-Reviews-Cafe_kuchen-Berlin.html,cafe kuchen,Berlin,"['Soups', 'Cafe', 'Vegetarian Friendly', 'Vegan Options']",4879.0,4.0,$,2,"[[], []]","Restaurant name: cafe kuchen. City: Berlin. Cuisine and dietary tags: Soups, Cafe, Vegetarian Friendly, Vegan Options. Price range: $. TripAdvisor rating: 4.0 out of 5. Number of reviews: 2.",52.490062,13.410118
