source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
3276,14646298499152190684,location_3276_14646298499152190684,3276,True,,,
3277,14646930136977973658,location_3277_14646930136977973658,3277,True,,,
3278,14648020470542929429,location_3278_14648020470542929429,3278,True,,,
3279,14650423215135647418,location_3279_14650423215135647418,3279,True,,,
3280,14650621614068377764,location_3280_14650621614068377764,3280,True,,,
3281,14650751458376785290,location_3281_14650751458376785290,3281,True,,,
3282,14651137472528871822,location_3282_14651137472528871822,3282,True,,,
3283,14652022412548862311,location_3283_14652022412548862311,3283,True,,,
3284,14653302151538092439,location_3284_14653302151538092439,3284,True,,,
3285,14653446071327840047,location_3285_14653446071327840047,3285,True,,,
3286,14653478282419174863,location_3286_14653478282419174863,3286,True,,,
3287,14656173844714560242,location_3287_14656173844714560242,3287,True,,,
3288,14662960971041882335,location_3288_14662960971041882335,3288,True,,,
3289,14664733959185148522,location_3289_14664733959185148522,3289,True,,,
3290,14666006644530448828,location_3290_14666006644530448828,3290,True,,,
3291,14666737051805174887,location_3291_14666737051805174887,3291,True,,,
3292,14668481326756252861,location_3292_14668481326756252861,3292,True,,,
3293,14670664672868692727,location_3293_14670664672868692727,3293,True,,,
3294,14674154269501227659,location_3294_14674154269501227659,3294,True,,,
3295,14674823331017841975,location_3295_14674823331017841975,3295,True,,,
3296,14676160157783220624,location_3296_14676160157783220624,3296,True,,,
3297,14677323511723246939,location_3297_14677323511723246939,3297,True,,,
3298,14678731634994187414,location_3298_14678731634994187414,3298,True,,,
3299,14680764835874044702,location_3299_14680764835874044702,3299,True,,,
3300,14681894140770707955,location_3300_14681894140770707955,3300,True,,,
3301,14683267634848870304,location_3301_14683267634848870304,3301,True,,,
3302,14683898886221185919,location_3302_14683898886221185919,3302,True,,,
3303,14686360824137777437,location_3303_14686360824137777437,3303,True,,,
3304,14686479062527167012,location_3304_14686479062527167012,3304,True,,,
3305,14687134296117829585,location_3305_14687134296117829585,3305,True,,,
3306,14689076599347377576,location_3306_14689076599347377576,3306,True,,,
3307,14690939398697975315,location_3307_14690939398697975315,3307,True,,,
3308,14691231519121866128,location_3308_14691231519121866128,3308,True,,,
3309,1469213904711618770,location_3309_1469213904711618770,3309,True,,,
3310,14692297748908148027,location_3310_14692297748908148027,3310,True,,,
3311,14695407376999297227,location_3311_14695407376999297227,3311,True,,,
3312,14696577417373566639,location_3312_14696577417373566639,3312,True,,,
3313,14698799574642045819,location_3313_14698799574642045819,3313,True,,,
3314,1470009400471263582,location_3314_1470009400471263582,3314,True,,,
3315,14703555300344300523,location_3315_14703555300344300523,3315,True,,,
3316,14708301736202020437,location_3316_14708301736202020437,3316,True,,,
3317,14708398680492532665,location_3317_14708398680492532665,3317,True,,,
3318,14708845780335140942,location_3318_14708845780335140942,3318,True,,,
3319,14709819748062591757,location_3319_14709819748062591757,3319,True,,,
3320,14710511751576934963,location_3320_14710511751576934963,3320,True,,,
3321,14711357769869746453,location_3321_14711357769869746453,3321,True,,,
3322,14712485690083326291,location_3322_14712485690083326291,3322,True,,,
3323,14712989961090091183,location_3323_14712989961090091183,3323,True,,,
3324,14714225775495490921,location_3324_14714225775495490921,3324,True,,,
3325,14716704764002563473,location_3325_14716704764002563473,3325,True,,,
3326,14716848474875159009,location_3326_14716848474875159009,3326,True,,,
3327,14716880332226980302,location_3327_14716880332226980302,3327,True,,,
3328,1471698452347565220,location_3328_1471698452347565220,3328,True,,,
3329,14719420530982266133,location_3329_14719420530982266133,3329,True,,,
3330,14720205535851760595,location_3330_14720205535851760595,3330,True,,,
3331,14725928228927397047,location_3331_14725928228927397047,3331,True,,,
3332,14728145361948263158,location_3332_14728145361948263158,3332,True,,,
3333,14729165992218462190,location_3333_14729165992218462190,3333,True,,,
3334,14731068450389113310,location_3334_14731068450389113310,3334,True,,,
3335,14733193156787635601,location_3335_14733193156787635601,3335,True,,,
3336,14735835047951871996,location_3336_14735835047951871996,3336,True,,,
3337,14736731351240373203,location_3337_14736731351240373203,3337,True,,,
3338,14738964886005281679,location_3338_14738964886005281679,3338,True,,,
3339,14741117486844343360,location_3339_14741117486844343360,3339,True,,,
3340,14743210802184549067,location_3340_14743210802184549067,3340,True,,,
3341,14743859762435510263,location_3341_14743859762435510263,3341,True,,,
3342,14744123846724384215,location_3342_14744123846724384215,3342,True,,,
3343,14746238914491311631,location_3343_14746238914491311631,3343,True,,,
3344,14748280563737415606,location_3344_14748280563737415606,3344,True,,,
3345,14750751055202726551,location_3345_14750751055202726551,3345,True,,,
3346,14754846502746343110,location_3346_14754846502746343110,3346,True,,,
3347,14755126997945261520,location_3347_14755126997945261520,3347,True,,,
3348,14755778628844621267,location_3348_14755778628844621267,3348,True,,,
3349,14756795940766553647,location_3349_14756795940766553647,3349,True,,,
3350,14757437198516609078,location_3350_14757437198516609078,3350,True,,,
3351,14757634979637415897,location_3351_14757634979637415897,3351,True,,,
3352,14757899105938300279,location_3352_14757899105938300279,3352,True,,,
3353,14760706153807019868,location_3353_14760706153807019868,3353,True,,,
3354,14760958032843222813,location_3354_14760958032843222813,3354,True,,,
3355,14761408975999743152,location_3355_14761408975999743152,3355,True,,,
3356,147614813026460857,location_3356_147614813026460857,3356,True,,,
3357,14763686742522992511,location_3357_14763686742522992511,3357,True,,,
3358,14764580793006378489,location_3358_14764580793006378489,3358,True,,,
3359,14768662756904325578,location_3359_14768662756904325578,3359,True,,,
3360,14769972707967403852,location_3360_14769972707967403852,3360,True,,,
3361,14770164082920568975,location_3361_14770164082920568975,3361,True,,,
3362,1477017776853292873,location_3362_1477017776853292873,3362,True,,,
3363,14771317817783347453,location_3363_14771317817783347453,3363,True,,,
3364,14773115681600660942,location_3364_14773115681600660942,3364,True,,,
3365,14773216354049658379,location_3365_14773216354049658379,3365,True,,,
3366,14773290688147553303,location_3366_14773290688147553303,3366,True,,,
3367,14774863960041533568,location_3367_14774863960041533568,3367,True,,,
3368,14782139223635796688,location_3368_14782139223635796688,3368,True,,,
3369,14782186704208550236,location_3369_14782186704208550236,3369,True,,,
3370,14782250497242328006,location_3370_14782250497242328006,3370,True,,,
3371,14783778698095041786,location_3371_14783778698095041786,3371,True,,,
3372,14784026742758464236,location_3372_14784026742758464236,3372,True,,,
3373,14784272582863257349,location_3373_14784272582863257349,3373,True,,,
3374,14785754482024396713,location_3374_14785754482024396713,3374,True,,,
3375,14786228283069021282,location_3375_14786228283069021282,3375,True,,,
3376,14787791029963097141,location_3376_14787791029963097141,3376,True,,,
3377,14788819363483072625,location_3377_14788819363483072625,3377,True,,,
3378,14790224320878711858,location_3378_14790224320878711858,3378,True,,,
3379,14791968414413102718,location_3379_14791968414413102718,3379,True,,,
3380,14792145067000612235,location_3380_14792145067000612235,3380,True,,,
3381,14794055106670216971,location_3381_14794055106670216971,3381,True,,,
3382,1479494447650350378,location_3382_1479494447650350378,3382,True,,,
3383,14795501044647363135,location_3383_14795501044647363135,3383,True,,,
3384,14796139108974240784,location_3384_14796139108974240784,3384,True,,,
3385,14797620449928668839,location_3385_14797620449928668839,3385,True,,,
3386,14803157775392187459,location_3386_14803157775392187459,3386,True,,,
3387,14803764456397557850,location_3387_14803764456397557850,3387,True,,,
3388,14804530746263655543,location_3388_14804530746263655543,3388,True,,,
3389,14805151117052878512,location_3389_14805151117052878512,3389,True,,,
3390,14809084193581041352,location_3390_14809084193581041352,3390,True,,,
3391,14810707394025947427,location_3391_14810707394025947427,3391,True,,,
3392,14811432240491429984,location_3392_14811432240491429984,3392,True,,,
3393,14813718883547585514,location_3393_14813718883547585514,3393,True,,,
3394,14813735683496707463,location_3394_14813735683496707463,3394,True,,,
3395,14814619387940816895,location_3395_14814619387940816895,3395,True,,,
3396,14816642957257904351,location_3396_14816642957257904351,3396,True,,,
3397,14817658749014365299,location_3397_14817658749014365299,3397,True,,,
3398,14819769186879128547,location_3398_14819769186879128547,3398,True,,,
3399,148202854107690403,location_3399_148202854107690403,3399,True,,,
3400,14821134149632407040,location_3400_14821134149632407040,3400,True,,,
3401,14823255408660336528,location_3401_14823255408660336528,3401,True,,,
